epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7235,3.41233,8.06951,1.8565,0.00139,0.5,0.00209,0.00061,2.51136,5.71098,1.34787,0.00026,0.00026,0.00026
2,88.0273,2.11605,4.05216,1.20566,0.00176,0.63043,0.20536,0.0313,1.98549,4.84522,1.16483,0.00052218,0.00052218,0.00052218
3,131.18,1.90527,3.3709,1.12844,0.00133,0.47826,0.06215,0.01208,1.81662,4.75793,1.16154,0.00076588,0.00076588,0.00076588
4,174.372,1.80583,2.96823,1.11293,0.00145,0.52174,0.00172,0.00061,1.77033,4.39294,1.10655,0.0009911,0.0009911,0.0009911
5,217.589,1.75799,2.68086,1.10444,0.00236,0.84783,0.12532,0.06414,1.75136,3.94265,1.09862,0.00119784,0.00119784,0.00119784
6,260.941,1.69726,2.56112,1.09675,0.00261,0.93478,0.6243,0.32112,1.56438,3.50377,1.0635,0.0013861,0.0013861,0.0013861
7,304.255,1.60065,2.059,1.0748,0.00255,0.91304,0.79967,0.41673,1.51501,3.14681,1.04217,0.00155588,0.00155588,0.00155588
8,348.089,1.54369,1.89808,1.04845,0.87439,0.75676,0.89835,0.46775,1.54627,2.35045,1.05263,0.001538,0.001538,0.001538
9,391.211,1.52419,1.74675,1.03101,0.88667,0.85049,0.93792,0.53031,1.49272,1.78679,1.04414,0.001472,0.001472,0.001472
10,434.604,1.58523,1.66678,1.05273,0.95739,0.95652,0.97111,0.56128,1.38911,1.44866,1.00601,0.001406,0.001406,0.001406
11,478.354,1.60555,1.44136,1.03537,0.98945,0.8913,0.95339,0.45148,1.65639,1.60253,1.07329,0.00134,0.00134,0.00134
12,522.087,1.50911,1.40106,1.02611,0.94282,0.82609,0.91953,0.49322,1.52126,1.34421,1.00581,0.001274,0.001274,0.001274
13,565.591,1.43302,1.37528,0.99559,0.94933,0.8913,0.95152,0.50081,1.53018,1.29179,1.05768,0.001208,0.001208,0.001208
14,609.483,1.39645,1.25972,1.00817,0.97596,0.88282,0.94397,0.52397,1.50088,1.32876,1.00086,0.001142,0.001142,0.001142
15,653.266,1.34056,1.20702,0.98514,0.93613,0.95589,0.96193,0.58025,1.40896,1.21327,1.00412,0.001076,0.001076,0.001076
16,697.054,1.36374,1.14372,0.99383,0.90728,0.91304,0.90912,0.43481,1.76663,1.37737,1.12755,0.00101,0.00101,0.00101
17,741.808,1.37549,1.12349,0.97208,0.943,0.91304,0.93199,0.54288,1.52478,1.14194,1.07049,0.000944,0.000944,0.000944
18,786.253,1.2955,1.09889,0.97852,0.97099,0.93478,0.94058,0.51308,1.55237,1.14729,1.05467,0.000878,0.000878,0.000878
19,830.766,1.28004,1.05266,0.9676,0.98067,0.91304,0.94854,0.54879,1.49567,1.09143,1.03954,0.000812,0.000812,0.000812
20,875.41,1.2448,1.02546,0.97241,0.97292,0.93478,0.94289,0.54248,1.47194,1.12273,1.0367,0.000746,0.000746,0.000746
21,919.014,1.29087,1.1924,1.00915,0.99426,0.97826,0.97504,0.61792,1.28583,0.94761,0.98139,0.00068,0.00068,0.00068
22,962.756,1.24535,1.10408,0.95903,0.84105,0.82609,0.85589,0.42613,1.79194,1.25858,1.14678,0.000614,0.000614,0.000614
23,1006.13,1.23154,1.10893,0.95733,0.97301,0.95652,0.95203,0.58275,1.38096,0.96611,1.00286,0.000548,0.000548,0.000548
24,1050.22,1.14414,1.09193,0.99046,0.94076,0.91304,0.91402,0.45863,1.6284,1.14215,1.06413,0.000482,0.000482,0.000482
25,1094.07,1.18386,1.04064,0.96692,0.96654,0.93478,0.93717,0.5647,1.4326,0.9897,1.02522,0.000416,0.000416,0.000416
26,1138.24,1.21586,1.04653,0.96538,0.97666,0.95652,0.96537,0.60136,1.37423,0.87596,0.99597,0.00035,0.00035,0.00035
27,1181.62,1.12595,0.95044,0.94244,0.97348,0.93478,0.94747,0.52124,1.48958,0.98228,1.0388,0.000284,0.000284,0.000284
28,1225.32,1.14875,1.01285,0.94024,0.97613,0.95652,0.96676,0.59402,1.33637,0.85022,0.99277,0.000218,0.000218,0.000218
29,1269.5,1.14977,0.97716,0.96179,0.976,0.95652,0.9666,0.6023,1.30002,0.83842,0.98424,0.000152,0.000152,0.000152
30,1312.84,1.06375,0.93333,0.95652,0.97613,0.95652,0.96544,0.59888,1.33888,0.87861,0.99582,8.6e-05,8.6e-05,8.6e-05
